purchase_id,item_id,Customer ID,Purchase Amount (USD),Season,Review Rating,Payment Method,Shipping Type,Discount Applied,Promo Code Used
191,354,191,70,1,3.0,6,3,Yes,Yes
192,611,192,76,1,3.9,3,3,Yes,Yes
193,1254,193,29,3,2.9,6,2,Yes,Yes
194,125,194,100,1,3.0,5,5,Yes,Yes
195,34,195,94,2,3.1,6,2,Yes,Yes
196,760,196,25,1,4.3,3,3,Yes,Yes
197,251,197,88,3,3.9,2,4,Yes,Yes
198,1112,198,78,1,3.2,4,1,Yes,Yes
199,903,199,45,4,4.8,2,5,Yes,Yes
200,647,200,73,3,3.8,4,2,Yes,Yes
201,424,201,61,3,3.3,5,4,Yes,Yes
202,189,202,22,1,4.3,1,3,Yes,Yes
203,591,203,38,2,2.7,1,2,Yes,Yes
204,1147,204,38,1,3.2,5,4,Yes,Yes
205,1498,205,100,1,4.0,5,6,Yes,Yes
206,1203,206,64,4,3.0,1,5,Yes,Yes
207,1767,207,55,3,4.2,6,3,Yes,Yes
208,475,208,91,3,2.9,6,2,Yes,Yes
209,1408,209,38,2,4.1,2,6,Yes,Yes
210,1069,210,97,4,3.2,1,6,Yes,Yes
211,745,211,22,1,3.0,6,1,Yes,Yes
212,1390,212,92,1,4.2,6,1,Yes,Yes
213,511,213,84,1,4.2,6,2,Yes,Yes
214,519,214,93,1,4.4,2,6,Yes,Yes
215,730,215,50,3,4.2,2,4,Yes,Yes
216,1140,216,64,2,2.8,1,1,Yes,Yes
217,1326,217,61,2,3.7,2,3,Yes,Yes
218,1638,218,48,4,3.5,6,4,Yes,Yes
219,1798,219,45,2,2.9,3,6,Yes,Yes
220,90,220,88,2,3.0,6,3,Yes,Yes
221,1507,221,57,2,3.7,4,2,Yes,Yes
222,649,222,68,3,4.4,4,6,Yes,Yes
223,498,223,94,2,4.5,6,1,Yes,Yes
224,982,224,41,2,4.8,6,3,Yes,Yes
225,1572,225,83,3,2.9,5,3,Yes,Yes
226,762,226,22,2,3.2,4,4,Yes,Yes
227,1255,227,74,2,3.3,2,3,Yes,Yes
228,832,228,90,4,4.2,6,5,Yes,Yes
229,1570,229,79,2,2.9,3,6,Yes,Yes
230,1072,230,28,2,4.6,2,4,Yes,Yes
231,1100,231,88,1,4.1,6,5,Yes,Yes
232,166,232,26,2,3.1,1,1,Yes,Yes
233,876,233,27,4,4.2,1,2,Yes,Yes
234,1750,234,83,1,4.5,5,4,Yes,Yes
235,492,235,39,3,3.7,5,4,Yes,Yes
236,1627,236,89,4,3.7,2,3,Yes,Yes
237,297,237,68,4,3.4,4,4,Yes,Yes
238,389,238,90,3,3.0,6,6,Yes,Yes
239,1417,239,34,1,4.2,4,3,Yes,Yes
240,961,240,51,3,2.9,5,2,Yes,Yes
241,1747,241,45,4,3.5,3,3,Yes,Yes
242,690,242,88,4,4.1,5,3,Yes,Yes
243,296,243,85,3,4.3,3,6,Yes,Yes
244,895,244,100,4,2.8,3,1,Yes,Yes
245,117,245,42,2,4.9,4,1,Yes,Yes
246,1021,246,53,3,3.3,2,4,Yes,Yes
247,1666,247,86,2,3.2,3,2,Yes,Yes
248,1737,248,66,2,4.4,3,5,Yes,Yes
249,88,249,100,4,4.8,6,2,Yes,Yes
250,563,250,47,1,4.2,2,5,Yes,Yes
251,1382,251,25,1,4.0,4,2,Yes,Yes
252,573,252,51,4,2.5,5,5,Yes,Yes
253,1349,253,41,3,3.9,2,3,Yes,Yes
254,223,254,73,4,4.9,5,1,Yes,Yes
255,1644,255,42,4,3.5,3,6,Yes,Yes
256,1115,256,20,2,4.2,4,3,Yes,Yes
257,940,257,30,2,4.7,6,2,Yes,Yes
258,543,258,53,3,4.5,5,2,Yes,Yes
259,488,259,74,2,2.8,6,2,Yes,Yes
260,819,260,57,1,2.9,3,5,Yes,Yes
261,636,261,57,4,3.2,1,1,Yes,Yes
262,805,262,77,4,4.9,2,5,Yes,Yes
263,981,263,40,3,3.7,2,4,Yes,Yes
264,1344,264,46,3,4.3,3,6,Yes,Yes
265,986,265,78,1,3.9,6,6,Yes,Yes
266,28,266,59,2,3.2,6,1,Yes,Yes
267,881,267,75,3,3.1,2,2,Yes,Yes
268,1708,268,54,2,3.9,6,1,Yes,Yes
269,1261,269,42,2,2.6,6,6,Yes,Yes
270,168,270,44,4,3.3,5,4,Yes,Yes
271,857,271,52,1,4.6,4,3,Yes,Yes
272,1676,272,69,3,4.6,3,2,Yes,Yes
273,883,273,26,3,4.4,5,1,Yes,Yes
274,350,274,33,2,4.2,2,2,Yes,Yes
275,891,275,32,2,3.0,3,2,Yes,Yes
276,61,276,85,4,4.0,4,2,Yes,Yes
277,1452,277,30,1,3.5,4,2,Yes,Yes
278,1192,278,29,4,3.0,3,6,Yes,Yes
279,1709,279,95,2,3.7,1,2,Yes,Yes
280,1470,280,69,3,4.0,3,5,Yes,Yes
281,1066,281,69,1,4.2,4,1,Yes,Yes
282,132,282,61,2,2.5,1,5,Yes,Yes
283,1422,283,94,3,3.0,4,1,Yes,Yes
284,1726,284,30,1,3.2,4,4,Yes,Yes
285,1420,285,45,3,3.5,5,5,Yes,Yes
286,581,286,39,3,4.8,3,2,Yes,Yes
287,869,287,51,3,2.6,2,6,Yes,Yes
288,1092,288,37,2,3.4,2,1,Yes,Yes
289,1779,289,62,4,3.7,3,1,Yes,Yes
290,336,290,85,1,4.5,4,1,Yes,Yes
291,1778,291,33,4,3.7,1,5,Yes,Yes
292,436,292,26,1,3.3,3,4,Yes,Yes
293,1265,293,99,2,4.7,3,3,Yes,Yes
294,547,294,39,2,2.7,5,2,Yes,Yes
295,1408,295,20,2,4.6,2,6,Yes,Yes
296,1630,296,42,4,2.7,6,6,Yes,Yes
297,1068,297,74,2,4.8,5,1,Yes,Yes
298,1304,298,26,3,4.4,1,5,Yes,Yes
299,1779,299,53,4,4.0,2,5,Yes,Yes
300,1486,300,80,3,3.2,3,4,Yes,Yes
301,623,301,98,2,4.4,2,6,Yes,Yes
302,1410,302,95,2,3.8,4,5,Yes,Yes
303,1687,303,44,3,3.6,6,2,Yes,Yes
304,1059,304,60,3,3.3,2,4,Yes,Yes
305,397,305,84,4,3.4,6,4,Yes,Yes
306,1715,306,59,1,3.5,4,1,Yes,Yes
307,785,307,49,3,3.6,4,2,Yes,Yes
308,470,308,32,4,3.2,2,3,Yes,Yes
309,526,309,29,1,3.7,1,5,Yes,Yes
310,412,310,22,2,4.5,1,5,Yes,Yes
311,966,311,85,4,4.6,4,5,Yes,Yes
312,811,312,52,4,4.1,4,6,Yes,Yes
313,948,313,89,2,3.4,1,4,Yes,Yes
314,404,314,77,2,3.7,5,2,Yes,Yes
315,978,315,24,3,3.3,5,6,Yes,Yes
316,935,316,24,2,4.5,6,2,Yes,Yes
317,530,317,22,1,3.3,1,3,Yes,Yes
318,1693,318,82,1,4.3,1,5,Yes,Yes
319,21,319,67,4,2.5,5,5,Yes,Yes
320,1379,320,74,2,2.6,6,5,Yes,Yes
321,881,321,72,3,4.9,5,5,Yes,Yes
322,1464,322,36,3,4.7,3,3,Yes,Yes
323,113,323,95,4,3.0,3,5,Yes,Yes
324,689,324,78,4,3.5,6,4,Yes,Yes
325,1197,325,82,3,4.8,3,5,Yes,Yes
326,966,326,70,4,4.3,4,3,Yes,Yes
327,1130,327,41,1,3.2,2,6,Yes,Yes
328,332,328,42,3,3.1,5,3,Yes,Yes
329,336,329,50,1,2.8,4,3,Yes,Yes
330,1586,330,31,3,2.9,4,1,Yes,Yes
331,1696,331,51,4,3.7,1,2,Yes,Yes
332,1163,332,98,1,3.3,3,6,Yes,Yes
333,1196,333,86,4,2.8,2,1,Yes,Yes
334,1715,334,64,4,4.5,2,5,Yes,Yes
335,174,335,46,1,2.6,5,4,Yes,Yes
336,1686,336,85,2,3.7,2,5,Yes,Yes
337,633,337,81,1,4.4,4,2,Yes,Yes
338,1701,338,59,4,4.3,2,1,Yes,Yes
339,694,339,79,4,3.5,6,2,Yes,Yes
340,1347,340,33,2,3.8,3,1,Yes,Yes
341,1310,341,47,3,3.5,2,2,Yes,Yes
342,629,342,20,3,4.6,3,6,Yes,Yes
343,325,343,36,2,2.6,1,4,Yes,Yes
344,1055,344,39,3,4.4,2,4,Yes,Yes
345,1406,345,71,4,4.0,5,5,Yes,Yes
346,1289,346,59,4,4.4,2,4,Yes,Yes
347,814,347,50,2,4.7,3,4,Yes,Yes
348,1033,348,41,1,3.9,3,6,Yes,Yes
349,165,349,59,1,2.7,1,3,Yes,Yes
350,612,350,87,4,3.7,2,1,Yes,Yes
351,1717,351,68,2,2.6,6,1,Yes,Yes
352,1422,352,90,4,3.9,2,5,Yes,Yes
353,863,353,71,1,4.9,6,4,Yes,Yes
354,1473,354,64,1,4.1,3,6,Yes,Yes
355,917,355,76,1,3.0,5,3,Yes,Yes
356,932,356,42,1,4.1,3,1,Yes,Yes
357,942,357,80,2,3.8,4,5,Yes,Yes
358,98,358,56,2,4.0,1,5,Yes,Yes
359,649,359,25,3,3.6,4,2,Yes,Yes
360,1487,360,74,4,3.0,4,6,Yes,Yes
361,981,361,30,3,3.0,1,5,Yes,Yes
362,1791,362,96,2,2.6,1,3,Yes,Yes
363,1478,363,64,1,3.4,2,3,Yes,Yes
364,1326,364,88,4,3.1,2,3,Yes,Yes
365,1240,365,88,3,3.0,4,3,Yes,Yes
366,498,366,88,3,3.7,5,5,Yes,Yes
367,1568,367,36,2,3.5,1,6,Yes,Yes
368,428,368,40,2,2.8,3,6,Yes,Yes
369,530,369,39,2,4.5,6,5,Yes,Yes
370,103,370,40,3,3.3,2,6,Yes,Yes
371,1123,371,34,4,3.4,3,2,Yes,Yes
372,1511,372,83,4,3.2,1,1,Yes,Yes
373,1688,373,85,3,3.7,3,5,Yes,Yes
374,311,374,27,3,4.6,1,2,Yes,Yes
375,921,375,78,2,5.0,1,6,Yes,Yes
376,1634,376,32,3,4.4,4,5,Yes,Yes
377,1286,377,51,1,4.9,5,2,Yes,Yes
378,1128,378,32,2,4.1,4,5,Yes,Yes
379,379,379,62,4,4.9,2,4,Yes,Yes
380,1798,380,29,1,4.7,4,1,Yes,Yes
381,57,381,69,1,3.0,5,6,Yes,Yes
382,871,382,25,4,3.4,4,6,Yes,Yes
383,826,383,76,4,3.2,5,6,Yes,Yes
384,1655,384,77,1,2.9,3,5,Yes,Yes
385,1696,385,33,1,4.5,3,1,Yes,Yes
386,1368,386,93,1,2.7,3,4,Yes,Yes
387,865,387,39,2,3.4,2,2,Yes,Yes
388,307,388,93,3,4.6,2,6,Yes,Yes
389,540,389,82,3,2.7,3,6,Yes,Yes
390,234,390,42,2,4.2,6,5,Yes,Yes
391,467,391,71,4,3.2,4,1,Yes,Yes
392,1683,392,86,2,4.8,2,5,Yes,Yes
393,1811,393,82,2,3.3,5,4,Yes,Yes
394,1246,394,65,1,4.2,3,5,Yes,Yes
395,1111,395,29,2,4.8,5,6,Yes,Yes
396,1456,396,65,4,4.9,2,6,Yes,Yes
397,414,397,88,1,3.9,1,5,Yes,Yes
398,94,398,46,1,3.0,6,3,Yes,Yes
399,274,399,67,4,4.6,5,3,Yes,Yes
400,1092,400,35,1,3.5,3,1,Yes,Yes
401,249,401,66,4,4.8,6,3,Yes,Yes
402,1763,402,91,1,4.8,1,5,Yes,Yes
403,5,403,78,1,3.0,5,2,Yes,Yes
404,1488,404,45,4,4.5,3,4,Yes,Yes
405,1778,405,93,2,4.8,3,6,Yes,Yes
406,846,406,74,3,3.8,4,5,Yes,Yes
407,471,407,55,2,4.6,4,2,Yes,Yes
408,725,408,76,2,3.1,4,4,Yes,Yes
409,1472,409,66,2,3.4,3,2,Yes,Yes
410,1330,410,51,4,3.3,4,1,Yes,Yes
411,1685,411,26,2,4.8,4,1,Yes,Yes
412,821,412,29,3,2.8,2,2,Yes,Yes
413,773,413,74,3,3.1,6,6,Yes,Yes
414,925,414,99,3,4.6,4,3,Yes,Yes
415,18,415,88,4,2.6,1,6,Yes,Yes
416,323,416,31,4,2.6,6,2,Yes,Yes
417,77,417,55,2,3.8,1,3,Yes,Yes
418,1017,418,81,1,4.5,5,3,Yes,Yes
419,1691,419,73,2,3.0,2,5,Yes,Yes
420,1366,420,91,4,3.5,3,3,Yes,Yes
421,1579,421,54,2,3.8,3,3,Yes,Yes
422,1206,422,40,4,3.5,2,5,Yes,Yes
423,978,423,59,1,3.1,1,6,Yes,Yes
424,1106,424,26,2,3.0,1,6,Yes,Yes
425,1702,425,23,4,4.3,3,5,Yes,Yes
426,847,426,87,4,3.3,4,6,Yes,Yes
427,983,427,71,4,4.7,2,2,Yes,Yes
428,2,428,91,4,4.5,2,6,Yes,Yes
429,358,429,64,4,2.9,6,3,Yes,Yes
430,1044,430,94,4,4.1,6,1,Yes,Yes
431,1187,431,40,3,3.5,4,6,Yes,Yes
432,587,432,76,4,3.4,3,6,Yes,Yes
433,1215,433,86,1,3.3,4,3,Yes,Yes
434,1416,434,92,1,3.2,1,6,Yes,Yes
435,1250,435,52,2,4.0,1,6,Yes,Yes
436,363,436,28,4,3.6,5,4,Yes,Yes
437,946,437,46,3,4.6,2,3,Yes,Yes
438,897,438,50,3,2.6,3,4,Yes,Yes
439,105,439,23,4,4.3,2,2,Yes,Yes
440,770,440,50,3,3.4,5,3,Yes,Yes
441,1228,441,89,4,3.5,4,6,Yes,Yes
442,687,442,81,4,4.2,1,5,Yes,Yes
443,1634,443,69,1,3.5,1,6,Yes,Yes
444,1632,444,67,3,3.6,5,3,Yes,Yes
445,406,445,20,3,4.3,4,6,Yes,Yes
446,254,446,29,1,4.9,1,5,Yes,Yes
447,1203,447,74,3,4.1,1,6,Yes,Yes
448,1367,448,82,2,3.6,6,5,Yes,Yes
449,480,449,23,3,3.4,3,4,Yes,Yes
450,875,450,45,3,2.9,5,1,Yes,Yes
451,219,451,21,3,2.7,6,6,Yes,Yes
452,898,452,31,3,4.3,2,2,Yes,Yes
453,983,453,45,3,3.3,4,2,Yes,Yes
454,936,454,56,4,2.8,2,4,Yes,Yes
455,775,455,97,3,3.2,4,4,Yes,Yes
456,209,456,100,1,3.6,3,6,Yes,Yes
457,193,457,96,1,4.0,1,1,Yes,Yes
458,460,458,99,2,4.9,3,4,Yes,Yes
459,1309,459,91,4,4.0,4,1,Yes,Yes
460,583,460,30,4,3.8,4,5,Yes,Yes
461,1253,461,65,3,3.7,6,6,Yes,Yes
462,264,462,93,4,3.9,2,2,Yes,Yes
463,772,463,81,1,3.3,4,2,Yes,Yes
464,918,464,81,3,2.7,6,5,Yes,Yes
465,1640,465,52,4,4.7,5,4,Yes,Yes
466,1418,466,88,3,2.8,2,4,Yes,Yes
467,813,467,24,4,4.6,3,3,Yes,Yes
468,52,468,51,2,4.5,3,1,Yes,Yes
469,53,469,38,1,5.0,1,3,Yes,Yes
470,1319,470,46,1,4.1,4,1,Yes,Yes
471,385,471,63,3,4.6,2,2,Yes,Yes
472,1161,472,72,4,4.9,3,1,Yes,Yes
473,801,473,39,4,3.9,2,3,Yes,Yes
474,302,474,42,2,3.9,6,6,Yes,Yes
475,1742,475,76,3,2.6,4,1,Yes,Yes
476,1461,476,66,3,2.7,2,3,Yes,Yes
477,1121,477,90,2,3.5,6,3,Yes,Yes
478,1704,478,56,3,3.7,3,3,Yes,Yes
479,939,479,43,4,3.2,4,3,Yes,Yes
480,525,480,84,4,3.3,1,6,Yes,Yes
481,683,481,88,3,4.8,3,5,Yes,Yes
482,595,482,88,1,3.2,5,1,Yes,Yes
483,107,483,42,4,2.5,5,1,Yes,Yes
484,696,484,73,1,3.9,6,6,Yes,Yes
485,590,485,73,3,4.7,3,3,Yes,Yes
486,1282,486,44,2,2.6,4,4,Yes,Yes
487,1042,487,63,1,2.8,4,6,Yes,Yes
488,744,488,68,4,4.4,3,6,Yes,Yes
489,1687,489,29,2,4.6,6,5,Yes,Yes
490,1556,490,85,3,3.2,6,5,Yes,Yes
491,1493,491,42,4,4.2,5,1,Yes,Yes
492,331,492,69,3,3.7,1,1,Yes,Yes
493,1185,493,62,1,3.9,5,5,Yes,Yes
494,64,494,48,3,4.7,4,6,Yes,Yes
495,250,495,68,4,4.5,5,2,Yes,Yes
496,572,496,36,1,3.3,3,3,Yes,Yes
497,420,497,63,1,3.3,6,2,Yes,Yes
498,1513,498,39,4,4.6,1,3,Yes,Yes
499,251,499,78,2,3.6,5,3,Yes,Yes
500,1252,500,99,4,4.8,3,2,Yes,Yes
501,1765,501,31,1,4.8,1,4,Yes,Yes
502,246,502,45,2,2.9,4,4,Yes,Yes
503,987,503,30,1,2.8,2,2,Yes,Yes
504,1267,504,24,3,3.2,3,4,Yes,Yes
505,1269,505,22,4,3.9,1,3,Yes,Yes
506,1756,506,63,2,4.3,3,2,Yes,Yes
507,1123,507,40,1,2.7,2,1,Yes,Yes
508,1338,508,20,2,5.0,1,6,Yes,Yes
509,926,509,20,4,3.7,2,6,Yes,Yes
510,1754,510,80,3,3.9,1,3,Yes,Yes
511,1204,511,87,1,3.9,3,1,Yes,Yes
512,1183,512,46,1,3.1,4,3,Yes,Yes
513,449,513,49,4,3.3,3,4,Yes,Yes
514,1125,514,65,1,3.6,5,6,Yes,Yes
515,1435,515,62,4,4.3,4,5,Yes,Yes
516,586,516,67,2,4.5,3,4,Yes,Yes
517,665,517,41,1,2.8,2,1,Yes,Yes
518,236,518,49,1,2.7,4,3,Yes,Yes
519,165,519,100,1,2.9,5,4,Yes,Yes
520,68,520,54,3,4.4,2,1,Yes,Yes
521,1644,521,84,2,3.9,1,3,Yes,Yes
522,1313,522,41,4,3.5,3,5,Yes,Yes
523,460,523,88,2,2.5,5,6,Yes,Yes
524,1052,524,40,2,4.9,2,2,Yes,Yes
