Customer ID,Age,Gender,Location,Subscription Status,Previous Purchases,Preferred Payment Method,Frequency of Purchases
73,18,Male,Georgia,Yes,21,Bank Transfer,Every 3 Months
74,48,Male,Hawaii,Yes,43,Bank Transfer,Bi-Weekly
75,49,Male,Indiana,Yes,3,Cash,Monthly
76,64,Male,Utah,Yes,21,Credit Card,Annually
77,50,Male,Delaware,Yes,32,Venmo,Monthly
78,22,Male,Delaware,Yes,36,Debit Card,Fortnightly
79,50,Male,Nebraska,Yes,50,Venmo,Fortnightly
80,38,Male,Iowa,Yes,43,Bank Transfer,Every 3 Months
81,19,Male,New York,Yes,24,Credit Card,Every 3 Months
82,67,Male,Virginia,Yes,36,Credit Card,Every 3 Months
83,19,Male,Georgia,Yes,21,Credit Card,Every 3 Months
84,36,Male,Texas,Yes,34,Bank Transfer,Weekly
85,52,Male,Arizona,Yes,42,Bank Transfer,Every 3 Months
86,53,Male,New Mexico,Yes,2,Debit Card,Bi-Weekly
87,24,Male,Nevada,Yes,47,Cash,Bi-Weekly
88,52,Male,Ohio,Yes,44,Debit Card,Fortnightly
89,33,Male,Wyoming,Yes,35,Credit Card,Monthly
90,47,Male,California,Yes,15,Cash,Quarterly
91,25,Male,South Carolina,Yes,29,Credit Card,Monthly
92,44,Male,South Carolina,Yes,18,Credit Card,Every 3 Months
93,61,Male,Texas,Yes,13,Venmo,Every 3 Months
94,37,Male,Florida,Yes,46,Credit Card,Weekly
95,58,Male,Nevada,Yes,28,Credit Card,Weekly
96,37,Male,Missouri,Yes,48,PayPal,Monthly
97,32,Male,Delaware,Yes,43,Venmo,Every 3 Months
98,21,Male,Virginia,Yes,37,Cash,Annually
99,20,Male,New York,Yes,20,Bank Transfer,Annually
100,26,Male,Missouri,Yes,33,Debit Card,Quarterly
101,62,Male,South Dakota,Yes,31,Cash,Fortnightly
102,27,Male,North Dakota,Yes,50,Credit Card,Bi-Weekly
103,51,Male,Oklahoma,Yes,35,Credit Card,Quarterly
104,54,Male,West Virginia,Yes,22,Venmo,Bi-Weekly
105,55,Male,New Hampshire,Yes,1,PayPal,Monthly
106,69,Male,New York,Yes,4,Bank Transfer,Annually
107,64,Male,Minnesota,Yes,31,Credit Card,Monthly
108,28,Male,Maryland,Yes,46,PayPal,Fortnightly
109,70,Male,Montana,Yes,32,Bank Transfer,Bi-Weekly
110,58,Male,Alabama,Yes,43,Bank Transfer,Fortnightly
111,56,Male,New York,Yes,26,Venmo,Fortnightly
112,26,Male,Massachusetts,Yes,9,Credit Card,Annually
113,37,Male,Florida,Yes,28,PayPal,Bi-Weekly
114,44,Male,New Jersey,Yes,20,PayPal,Quarterly
115,70,Male,Massachusetts,Yes,9,Cash,Weekly
116,53,Male,Wyoming,Yes,48,Debit Card,Every 3 Months
117,55,Male,Virginia,Yes,12,Venmo,Annually
118,50,Male,South Dakota,Yes,29,Cash,Fortnightly
119,50,Male,Kentucky,Yes,27,Cash,Bi-Weekly
120,38,Male,Wyoming,Yes,44,Cash,Annually
121,64,Male,West Virginia,Yes,32,Bank Transfer,Annually
122,19,Male,Virginia,Yes,11,Cash,Fortnightly
123,40,Male,Washington,Yes,44,Cash,Fortnightly
124,57,Male,Louisiana,Yes,46,Cash,Weekly
125,44,Male,Nevada,Yes,50,PayPal,Annually
126,49,Male,California,Yes,45,Venmo,Every 3 Months
127,43,Male,Mississippi,Yes,48,Cash,Every 3 Months
128,24,Male,Mississippi,Yes,26,Credit Card,Weekly
129,20,Male,California,Yes,21,Credit Card,Fortnightly
130,24,Male,Pennsylvania,Yes,49,PayPal,Bi-Weekly
131,44,Male,Kentucky,Yes,13,PayPal,Fortnightly
132,28,Male,Maine,Yes,46,Credit Card,Weekly
133,30,Male,New Mexico,Yes,42,PayPal,Weekly
134,52,Male,Montana,Yes,25,Venmo,Annually
135,43,Male,Texas,Yes,25,Cash,Monthly
136,43,Male,Kansas,Yes,12,PayPal,Quarterly
137,39,Male,South Carolina,Yes,4,Debit Card,Quarterly
138,68,Male,Colorado,Yes,38,PayPal,Weekly
139,68,Male,Georgia,Yes,42,Bank Transfer,Weekly
140,49,Male,Florida,Yes,30,Venmo,Annually
141,63,Male,North Carolina,Yes,50,Credit Card,Weekly
142,56,Male,Virginia,Yes,45,PayPal,Weekly
143,37,Male,Nebraska,Yes,33,Credit Card,Fortnightly
144,30,Male,Missouri,Yes,25,PayPal,Quarterly
145,19,Male,New Jersey,Yes,25,Cash,Monthly
146,24,Male,Missouri,Yes,44,Debit Card,Quarterly
147,52,Male,Colorado,Yes,21,Venmo,Fortnightly
148,63,Male,Idaho,Yes,31,Bank Transfer,Fortnightly
149,37,Male,Wyoming,Yes,47,Debit Card,Annually
150,38,Male,Delaware,Yes,14,PayPal,Monthly
151,35,Male,California,Yes,17,Debit Card,Every 3 Months
152,28,Male,North Dakota,Yes,3,Venmo,Annually
153,30,Male,South Carolina,Yes,42,Venmo,Annually
154,69,Male,North Carolina,Yes,22,Debit Card,Annually
155,41,Male,Oklahoma,Yes,21,Venmo,Quarterly
156,63,Male,Maine,Yes,21,Bank Transfer,Quarterly
157,35,Male,Missouri,Yes,40,Debit Card,Annually
158,36,Male,Vermont,Yes,1,Bank Transfer,Fortnightly
159,25,Male,Connecticut,Yes,50,Bank Transfer,Monthly
160,58,Male,New Hampshire,Yes,39,Bank Transfer,Every 3 Months
161,27,Male,Texas,Yes,34,Venmo,Monthly
162,65,Male,North Dakota,Yes,29,Venmo,Fortnightly
163,54,Male,California,Yes,31,PayPal,Bi-Weekly
164,54,Male,Virginia,Yes,8,Debit Card,Weekly
165,59,Male,Delaware,Yes,5,Credit Card,Fortnightly
166,42,Male,Kentucky,Yes,7,Cash,Monthly
167,46,Male,Delaware,Yes,30,Cash,Monthly
168,33,Male,Arkansas,Yes,14,Credit Card,Every 3 Months
169,34,Male,Louisiana,Yes,5,Cash,Fortnightly
170,27,Male,Nevada,Yes,3,PayPal,Every 3 Months
171,52,Male,Wyoming,Yes,46,Venmo,Bi-Weekly
172,29,Male,Virginia,Yes,4,Credit Card,Weekly
173,54,Male,Nebraska,Yes,42,Credit Card,Bi-Weekly
174,25,Male,Hawaii,Yes,30,Cash,Annually
175,41,Male,Vermont,Yes,37,Venmo,Annually
176,53,Male,Oklahoma,Yes,2,Bank Transfer,Annually
177,53,Male,New Hampshire,Yes,30,Credit Card,Quarterly
178,21,Male,Kansas,Yes,47,Bank Transfer,Monthly
179,61,Male,Idaho,Yes,21,PayPal,Quarterly
180,64,Male,Illinois,Yes,9,Bank Transfer,Fortnightly
181,51,Male,South Dakota,Yes,12,Debit Card,Fortnightly
182,32,Male,Massachusetts,Yes,4,Bank Transfer,Weekly
183,38,Male,Alabama,Yes,10,Debit Card,Annually
184,58,Male,Ohio,Yes,26,Credit Card,Weekly
185,32,Male,Hawaii,Yes,40,Cash,Fortnightly
186,46,Male,Wisconsin,Yes,34,Bank Transfer,Fortnightly
187,39,Male,Minnesota,Yes,31,Debit Card,Annually
188,19,Male,Georgia,Yes,1,Bank Transfer,Bi-Weekly
189,50,Male,Arkansas,Yes,5,Bank Transfer,Bi-Weekly
190,36,Male,West Virginia,Yes,4,Credit Card,Weekly
191,65,Male,Indiana,Yes,48,Venmo,Quarterly
192,64,Male,Utah,Yes,29,Cash,Every 3 Months
193,46,Male,Nebraska,Yes,12,PayPal,Bi-Weekly
194,36,Male,North Dakota,Yes,29,Venmo,Annually
195,51,Male,Missouri,Yes,15,Debit Card,Quarterly
196,51,Male,New York,Yes,34,Credit Card,Monthly
197,38,Male,Washington,Yes,41,Credit Card,Fortnightly
198,59,Male,South Carolina,Yes,41,Credit Card,Monthly
199,57,Male,Utah,Yes,39,Credit Card,Fortnightly
200,54,Male,Idaho,Yes,32,Cash,Weekly
201,25,Male,Pennsylvania,Yes,29,Venmo,Monthly
202,69,Male,Missouri,Yes,15,Bank Transfer,Annually
203,57,Male,Nebraska,Yes,33,Venmo,Annually
204,70,Male,Indiana,Yes,18,Bank Transfer,Weekly
205,24,Male,Arizona,Yes,35,Cash,Bi-Weekly
206,67,Male,Hawaii,Yes,25,PayPal,Weekly
207,24,Male,Wisconsin,Yes,6,Venmo,Fortnightly
208,62,Male,Rhode Island,Yes,17,Bank Transfer,Bi-Weekly
209,57,Male,Wisconsin,Yes,17,Credit Card,Monthly
210,55,Male,Minnesota,Yes,44,Cash,Every 3 Months
211,45,Male,Vermont,Yes,6,PayPal,Fortnightly
212,69,Male,South Dakota,Yes,45,Debit Card,Fortnightly
213,67,Male,Virginia,Yes,7,Debit Card,Annually
214,30,Male,Nevada,Yes,11,Debit Card,Every 3 Months
215,24,Male,Hawaii,Yes,41,Cash,Every 3 Months
216,62,Male,New Jersey,Yes,24,PayPal,Bi-Weekly
217,43,Male,Massachusetts,Yes,21,Venmo,Weekly
218,35,Male,Oklahoma,Yes,24,Bank Transfer,Annually
219,28,Male,California,Yes,8,Credit Card,Quarterly
220,32,Male,Nevada,Yes,12,Cash,Fortnightly
221,39,Male,Arizona,Yes,48,Debit Card,Fortnightly
222,28,Male,North Carolina,Yes,6,Bank Transfer,Quarterly
223,47,Male,New York,Yes,14,PayPal,Fortnightly
224,20,Male,Wyoming,Yes,34,PayPal,Annually
225,63,Male,South Dakota,Yes,12,Cash,Every 3 Months
226,25,Male,Arkansas,Yes,11,Bank Transfer,Annually
227,29,Male,Texas,Yes,5,PayPal,Monthly
228,50,Male,Rhode Island,Yes,25,Venmo,Fortnightly
229,18,Male,New Hampshire,Yes,11,Credit Card,Annually
230,70,Male,Ohio,Yes,27,PayPal,Every 3 Months
231,66,Male,Utah,Yes,43,Credit Card,Annually
232,28,Male,Tennessee,Yes,18,Debit Card,Every 3 Months
233,54,Male,Hawaii,Yes,32,Bank Transfer,Bi-Weekly
234,19,Male,Arizona,Yes,27,Bank Transfer,Every 3 Months
235,20,Male,South Dakota,Yes,24,Credit Card,Weekly
236,43,Male,New Jersey,Yes,31,Debit Card,Quarterly
237,38,Male,North Dakota,Yes,39,PayPal,Fortnightly
238,50,Male,Iowa,Yes,36,Debit Card,Fortnightly
239,64,Male,Ohio,Yes,5,Cash,Annually
240,49,Male,Vermont,Yes,47,Credit Card,Bi-Weekly
241,47,Male,Montana,Yes,29,Bank Transfer,Fortnightly
242,36,Male,Delaware,Yes,43,Venmo,Bi-Weekly
243,55,Male,New York,Yes,40,Debit Card,Every 3 Months
244,25,Male,Kentucky,Yes,4,Debit Card,Monthly
245,53,Male,Oregon,Yes,39,PayPal,Weekly
246,49,Male,Rhode Island,Yes,45,Venmo,Fortnightly
247,35,Male,Nevada,Yes,20,Venmo,Bi-Weekly
248,29,Male,Montana,Yes,14,Debit Card,Weekly
249,47,Male,Pennsylvania,Yes,33,PayPal,Weekly
250,53,Male,Alaska,Yes,18,Credit Card,Annually
251,33,Male,Mississippi,Yes,9,Bank Transfer,Weekly
252,21,Male,Wyoming,Yes,34,PayPal,Annually
253,32,Male,Delaware,Yes,33,Venmo,Fortnightly
254,52,Male,Oklahoma,Yes,15,Bank Transfer,Bi-Weekly
255,67,Male,Indiana,Yes,4,PayPal,Bi-Weekly
256,43,Male,Maryland,Yes,25,Debit Card,Annually
257,58,Male,South Dakota,Yes,20,Credit Card,Every 3 Months
258,20,Male,West Virginia,Yes,5,Credit Card,Quarterly
259,61,Male,Alabama,Yes,16,Cash,Quarterly
260,32,Male,Louisiana,Yes,13,Debit Card,Annually
261,38,Male,Montana,Yes,11,Credit Card,Every 3 Months
262,21,Male,California,Yes,21,Credit Card,Annually
263,37,Male,Hawaii,Yes,6,Debit Card,Annually
264,27,Male,Iowa,Yes,29,Venmo,Monthly
265,36,Male,Colorado,Yes,15,Cash,Annually
266,32,Male,Michigan,Yes,17,Bank Transfer,Bi-Weekly
267,51,Male,Louisiana,Yes,32,Credit Card,Weekly
268,64,Male,Maryland,Yes,42,Venmo,Annually
269,68,Male,Georgia,Yes,21,Cash,Monthly
270,68,Male,Georgia,Yes,9,Cash,Bi-Weekly
271,33,Male,North Dakota,Yes,16,Bank Transfer,Annually
272,65,Male,Maryland,Yes,42,Credit Card,Fortnightly
273,48,Male,Oregon,Yes,37,Debit Card,Bi-Weekly
274,69,Male,North Dakota,Yes,32,Debit Card,Quarterly
275,59,Male,Maryland,Yes,28,Cash,Bi-Weekly
276,48,Male,Virginia,Yes,13,Credit Card,Weekly
277,25,Male,South Dakota,Yes,11,Bank Transfer,Fortnightly
278,29,Male,Georgia,Yes,36,Bank Transfer,Bi-Weekly
279,57,Male,Hawaii,Yes,23,Debit Card,Annually
280,23,Male,Arkansas,Yes,37,Bank Transfer,Monthly
281,45,Male,Montana,Yes,21,Cash,Bi-Weekly
282,38,Male,Oklahoma,Yes,22,Debit Card,Bi-Weekly
283,21,Male,Minnesota,Yes,9,Cash,Monthly
284,32,Male,Montana,Yes,16,Venmo,Annually
285,63,Male,Ohio,Yes,4,PayPal,Quarterly
286,29,Male,Kentucky,Yes,3,Debit Card,Bi-Weekly
287,27,Male,Nebraska,Yes,6,Debit Card,Annually
288,56,Male,Delaware,Yes,18,Venmo,Fortnightly
289,30,Male,North Carolina,Yes,34,Venmo,Bi-Weekly
290,49,Male,New York,Yes,26,Credit Card,Monthly
291,58,Male,Colorado,Yes,50,PayPal,Weekly
292,57,Male,Delaware,Yes,40,Bank Transfer,Monthly
293,60,Male,Utah,Yes,24,Cash,Quarterly
294,69,Male,Connecticut,Yes,33,PayPal,Annually
295,70,Male,New Jersey,Yes,19,Credit Card,Every 3 Months
296,53,Male,West Virginia,Yes,24,Credit Card,Quarterly
297,25,Male,Indiana,Yes,19,Credit Card,Weekly
298,48,Male,Delaware,Yes,4,Credit Card,Bi-Weekly
299,69,Male,Maryland,Yes,11,Venmo,Every 3 Months
300,25,Male,Pennsylvania,Yes,28,PayPal,Fortnightly
301,29,Male,Iowa,Yes,24,PayPal,Weekly
302,46,Male,Pennsylvania,Yes,25,Credit Card,Every 3 Months
303,37,Male,Delaware,Yes,27,Bank Transfer,Every 3 Months
304,20,Male,Oregon,Yes,49,Venmo,Weekly
305,40,Male,Oregon,Yes,45,Credit Card,Bi-Weekly
306,60,Male,Utah,Yes,26,PayPal,Annually
307,26,Male,North Dakota,Yes,4,Cash,Annually
308,29,Male,Florida,Yes,3,Credit Card,Every 3 Months
309,66,Male,Maryland,Yes,45,Venmo,Bi-Weekly
310,66,Male,Minnesota,Yes,21,Cash,Fortnightly
311,56,Male,Montana,Yes,50,Cash,Fortnightly
312,69,Male,Rhode Island,Yes,19,Bank Transfer,Monthly
313,38,Male,Massachusetts,Yes,6,PayPal,Annually
314,42,Male,Vermont,Yes,50,Credit Card,Every 3 Months
315,30,Male,New Jersey,Yes,17,Debit Card,Every 3 Months
316,66,Male,Wisconsin,Yes,24,Debit Card,Annually
317,36,Male,California,Yes,46,Venmo,Monthly
318,58,Male,West Virginia,Yes,42,Cash,Every 3 Months
319,45,Male,South Dakota,Yes,10,Cash,Annually
320,47,Male,Maine,Yes,1,Cash,Every 3 Months
321,66,Male,Kansas,Yes,28,Debit Card,Quarterly
322,41,Male,Vermont,Yes,48,Debit Card,Quarterly
323,41,Male,Tennessee,Yes,47,Credit Card,Monthly
324,66,Male,Tennessee,Yes,29,PayPal,Bi-Weekly
325,37,Male,Wyoming,Yes,37,Venmo,Quarterly
326,70,Male,Vermont,Yes,38,Debit Card,Annually
327,62,Male,New Jersey,Yes,48,Bank Transfer,Weekly
328,61,Male,Iowa,Yes,36,PayPal,Weekly
329,48,Male,Florida,Yes,9,Credit Card,Weekly
330,70,Male,Nevada,Yes,34,Bank Transfer,Monthly
331,46,Male,North Dakota,Yes,43,Venmo,Bi-Weekly
332,31,Male,Florida,Yes,46,PayPal,Quarterly
333,19,Male,New York,Yes,5,Credit Card,Monthly
334,39,Male,Alaska,Yes,15,Bank Transfer,Bi-Weekly
335,41,Male,Kansas,Yes,30,Credit Card,Annually
336,20,Male,Oregon,Yes,44,Venmo,Every 3 Months
337,36,Male,Rhode Island,Yes,16,PayPal,Annually
338,32,Male,New Mexico,Yes,16,Bank Transfer,Annually
339,69,Male,Massachusetts,Yes,16,Cash,Weekly
340,40,Male,Pennsylvania,Yes,21,Credit Card,Every 3 Months
341,40,Male,New Jersey,Yes,39,Venmo,Every 3 Months
342,20,Male,Utah,Yes,40,Debit Card,Bi-Weekly
343,64,Male,Kentucky,Yes,48,Credit Card,Every 3 Months
344,27,Male,Nebraska,Yes,26,Venmo,Monthly
345,24,Male,Virginia,Yes,46,Debit Card,Monthly
346,48,Male,Wyoming,Yes,27,Bank Transfer,Annually
347,49,Male,New Mexico,Yes,5,Cash,Weekly
348,36,Male,Oregon,Yes,43,PayPal,Fortnightly
349,56,Male,South Carolina,Yes,17,PayPal,Fortnightly
350,37,Male,Arizona,Yes,3,Bank Transfer,Bi-Weekly
351,42,Male,Kentucky,Yes,47,Bank Transfer,Fortnightly
352,28,Male,New York,Yes,24,Debit Card,Bi-Weekly
353,27,Male,Texas,Yes,12,Cash,Every 3 Months
354,63,Male,Missouri,Yes,35,Debit Card,Monthly
355,58,Male,Pennsylvania,Yes,42,Venmo,Weekly
356,37,Male,Oregon,Yes,1,PayPal,Every 3 Months
357,56,Male,Nevada,Yes,27,Cash,Weekly
358,18,Male,Arkansas,Yes,16,Credit Card,Bi-Weekly
359,48,Male,Minnesota,Yes,36,Credit Card,Every 3 Months
360,31,Male,Georgia,Yes,30,Credit Card,Every 3 Months
361,51,Male,Rhode Island,Yes,18,Debit Card,Fortnightly
362,65,Male,Nevada,Yes,45,Cash,Annually
363,53,Male,Texas,Yes,1,Venmo,Fortnightly
364,55,Male,Florida,Yes,42,Bank Transfer,Fortnightly
365,62,Male,North Dakota,Yes,7,Venmo,Every 3 Months
366,55,Male,West Virginia,Yes,50,PayPal,Quarterly
367,64,Male,Nebraska,Yes,37,Venmo,Fortnightly
368,52,Male,Tennessee,Yes,18,Bank Transfer,Monthly
369,24,Male,Oklahoma,Yes,29,Cash,Monthly
370,38,Male,Wisconsin,Yes,45,PayPal,Quarterly
371,59,Male,Oregon,Yes,13,PayPal,Weekly
372,27,Male,North Carolina,Yes,47,PayPal,Monthly
373,24,Male,Pennsylvania,Yes,7,Debit Card,Weekly
374,23,Male,North Dakota,Yes,11,Venmo,Bi-Weekly
375,69,Male,Ohio,Yes,39,Bank Transfer,Monthly
376,59,Male,Oklahoma,Yes,6,Debit Card,Quarterly
377,51,Male,South Carolina,Yes,2,Venmo,Bi-Weekly
378,63,Male,Maine,Yes,39,Credit Card,Every 3 Months
379,54,Male,Nevada,Yes,23,Credit Card,Monthly
380,32,Male,Montana,Yes,46,Debit Card,Bi-Weekly
381,39,Male,New Hampshire,Yes,19,Bank Transfer,Weekly
382,66,Male,Maine,Yes,3,Credit Card,Every 3 Months
383,28,Male,California,Yes,47,PayPal,Quarterly
384,50,Male,West Virginia,Yes,6,PayPal,Quarterly
385,70,Male,California,Yes,6,Venmo,Annually
386,67,Male,West Virginia,Yes,12,Credit Card,Bi-Weekly
387,64,Male,Louisiana,Yes,40,PayPal,Quarterly
388,45,Male,Georgia,Yes,38,PayPal,Fortnightly
389,22,Male,Washington,Yes,10,PayPal,Quarterly
390,27,Male,Virginia,Yes,28,Bank Transfer,Monthly
391,25,Male,Indiana,Yes,19,PayPal,Annually
392,37,Male,Minnesota,Yes,25,Cash,Fortnightly
393,26,Male,Idaho,Yes,38,Credit Card,Annually
394,33,Male,Vermont,Yes,6,PayPal,Fortnightly
395,43,Male,North Dakota,Yes,7,Debit Card,Bi-Weekly
396,37,Male,Rhode Island,Yes,2,PayPal,Annually
397,46,Male,South Carolina,Yes,24,Bank Transfer,Annually
398,22,Male,Mississippi,Yes,26,Cash,Annually
399,20,Male,Montana,Yes,25,Debit Card,Every 3 Months
400,60,Male,Idaho,Yes,10,Debit Card,Monthly
401,39,Male,Utah,Yes,14,PayPal,Fortnightly
402,43,Male,Oklahoma,Yes,21,Cash,Quarterly
403,31,Male,California,Yes,26,PayPal,Monthly
404,19,Male,Nevada,Yes,12,Bank Transfer,Annually
405,35,Male,Delaware,Yes,11,Credit Card,Monthly
406,41,Male,South Carolina,Yes,15,Cash,Annually
407,52,Male,Maryland,Yes,13,Cash,Monthly
408,45,Male,North Carolina,Yes,5,Credit Card,Bi-Weekly
409,34,Male,Alabama,Yes,36,Cash,Fortnightly
410,35,Male,Minnesota,Yes,32,Bank Transfer,Monthly
411,29,Male,Virginia,Yes,1,Credit Card,Quarterly
412,59,Male,Michigan,Yes,15,PayPal,Annually
413,24,Male,Maine,Yes,3,Bank Transfer,Weekly
414,70,Male,Nevada,Yes,48,Cash,Monthly
415,29,Male,Wyoming,Yes,30,Debit Card,Weekly
416,67,Male,Connecticut,Yes,40,Bank Transfer,Monthly
417,36,Male,Oregon,Yes,24,Bank Transfer,Fortnightly
418,23,Male,Mississippi,Yes,48,Debit Card,Quarterly
419,18,Male,Illinois,Yes,27,Venmo,Bi-Weekly
420,53,Male,Utah,Yes,14,Credit Card,Every 3 Months
421,32,Male,North Carolina,Yes,18,Debit Card,Bi-Weekly
422,38,Male,Kentucky,Yes,48,Cash,Bi-Weekly
423,47,Male,Minnesota,Yes,32,Debit Card,Annually
424,46,Male,New York,Yes,21,Credit Card,Bi-Weekly
425,66,Male,Illinois,Yes,42,PayPal,Fortnightly
426,40,Male,North Dakota,Yes,4,Credit Card,Quarterly
427,43,Male,Louisiana,Yes,19,Credit Card,Quarterly
428,58,Male,Illinois,Yes,6,Credit Card,Quarterly
429,21,Male,Wyoming,Yes,2,Debit Card,Fortnightly
430,42,Male,Washington,Yes,21,Cash,Fortnightly
431,24,Male,Texas,Yes,40,Debit Card,Annually
432,43,Male,New Hampshire,Yes,33,Cash,Fortnightly
433,47,Male,Indiana,Yes,26,Venmo,Weekly
434,49,Male,Alabama,Yes,23,Credit Card,Fortnightly
435,50,Male,Oklahoma,Yes,39,PayPal,Every 3 Months
436,51,Male,Montana,Yes,42,Bank Transfer,Monthly
437,40,Male,Tennessee,Yes,41,Bank Transfer,Weekly
438,45,Male,New Mexico,Yes,41,PayPal,Annually
439,52,Male,Iowa,Yes,12,Credit Card,Fortnightly
440,62,Male,Idaho,Yes,31,Cash,Monthly
441,20,Male,Oklahoma,Yes,34,Debit Card,Fortnightly
442,43,Male,Florida,Yes,32,Credit Card,Annually
443,29,Male,Michigan,Yes,31,Credit Card,Quarterly
444,22,Male,Hawaii,Yes,24,PayPal,Annually
445,48,Male,California,Yes,31,Debit Card,Annually
446,42,Male,Iowa,Yes,18,Venmo,Annually
447,19,Male,West Virginia,Yes,15,Venmo,Monthly
448,60,Male,Washington,Yes,7,Bank Transfer,Every 3 Months
449,32,Male,Missouri,Yes,35,Bank Transfer,Fortnightly
450,26,Male,New York,Yes,35,Bank Transfer,Monthly
451,25,Male,Connecticut,Yes,19,Credit Card,Monthly
452,66,Male,Virginia,Yes,26,Credit Card,Fortnightly
453,45,Male,Missouri,Yes,39,PayPal,Fortnightly
454,54,Male,Nebraska,Yes,22,Credit Card,Weekly
455,37,Male,New Jersey,Yes,14,Cash,Bi-Weekly
456,54,Male,Utah,Yes,50,Debit Card,Fortnightly
457,50,Male,North Carolina,Yes,33,Credit Card,Quarterly
458,25,Male,Rhode Island,Yes,48,Debit Card,Every 3 Months
459,47,Male,Arkansas,Yes,48,PayPal,Monthly
460,63,Male,Maryland,Yes,27,PayPal,Fortnightly
